,sd_values,mean_values,CV_values,Gene_Name,LeftEnd,Protein,Function,Description
b0014,0.9574479020000001,11.9714115,0.079977862,dnaK,12163,"chaperone Hsp70, with co-chaperone DnaJ",Factor; Chaperones,"Hsp70 molecular chaperone, heat-inducible; bichaperone with ClpB for protein disaggregation"
b0015,0.686496143,10.70198905,0.064146594,dnaJ,14168,"chaperone Hsp40, DnaK co-chaperone",Factor; Chaperones,"DnaK co-chaperone HSP40; DNA-binding protein; stress-related DNA biosynthesis, responsive to heat shock; binds Zn(II)"
b0016,1.308270053,10.57412019,0.12372377400000001,insL1,15445,IS186 transposase,"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related",IS186 transposase
b0018,,,,mokC,16751,"regulatory protein for HokC, overlaps CDS of hokC",Null,"Overlapping regulatory peptide, enables hokC expression"
b0019,0.923214944,9.574718169,0.09642215300000001,nhaA,17489,sodium-proton antiporter,Transport; Transport of small molecules: Cations,"Na+/H+ antiporter 1, strongly pH-dependent; helps regulate intracellular pH and extrude lithium; nhaA_P1 activated by NhaR, repressed by H-NS and stimulated by Na(+)"
b0020,0.778328783,9.477422812999999,0.082124518,nhaR,18715,transcriptional activator of nhaA,Regulator; Transport of small molecules: Cations,"Positive regulator of nhaA, Na(+)-dependent"
b0021,,,,insB1,19811,IS1 transposase B,"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related",IS1 transposase B
b0022,1.789058749,9.969876251,0.179446435,insA1,20233,IS1 repressor TnpA,"IS, phage, Tn; Transposon-related functions; extrachromosomal; transposon related",IS1 transposase A
b0023,1.185814197,10.87599805,0.10903038,rpsT,20815,30S ribosomal subunit protein S20,"Structural component; Ribosomal proteins - synthesis, modification",30S ribosomal subunit protein S20
b0024,0.6946714009999999,7.473955881,0.092945612,yaaY,21181,uncharacterized protein,Null,Function unknown
b0025,0.5556543429999999,10.54849964,0.052676149000000005,ribF,21407,bifunctional riboflavin kinase/FAD synthetase,Putative regulator; Not classified,Riboflavin kinase and FAD synthase
b0026,1.110660273,10.59773246,0.10480169,ileS,22391,isoleucyl-tRNA synthetase,"Enzyme; Aminoacyl tRNA synthetases, tRNA modification",Isoleucine--tRNA ligase
b0027,0.909724509,10.74418126,0.084671366,lspA,25207,prolipoprotein signal peptidase (signal peptidase II),"Enzyme; Protein, peptide secretion","Prolipoprotein signal peptidase, signal peptidase II; SPII"
b0028,0.5824916760000001,10.07433296,0.057819379000000004,fkpB,25826,FKBP-type peptidyl-prolyl cis-trans isomerase (rotamase),Putative enzyme; Proteins - translation and modification,FKBP-type peptidyl-prolyl cis-trans isomerase
b0029,0.407044697,9.838482795,0.04137271,ispH,26277,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase, 4Fe-4S protein",Null,"4-hydroxy-3-methylbut-2-enyl diphosphate reductase; last, branched, step of isopentenyl diphosphate (IPP) and dimethylallyl diphosphate (DMAPP) synthesis from 1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate; alternative nonmevalonate (DXP) pathway for terp"
b0030,0.6579760339999999,9.52939042,0.069047022,rihC,27293,ribonucleoside hydrolase 3,Null,Ribonucleoside hydrolase
b0031,0.7886629159999999,9.735177014,0.081011667,dapB,28374,dihydrodipicolinate reductase,Enzyme; Amino acid biosynthesis: Lysine,Dihydrodipicolinate reductase
b0032,1.154303727,10.10074719,0.11427904300000001,carA,29651,"carbamoyl phosphate synthetase small subunit, glutamine amidotransferase",Enzyme; Pyrimidine ribonucleotide biosynthesis,"Carbamoyl phosphate synthase, small subunit; glutamine-hydrolyzing, tetramer of heterodimers"
b0033,1.03069949,9.810698164,0.10505873,carB,30817,carbamoyl-phosphate synthase large subunit,Enzyme; Pyrimidine ribonucleotide biosynthesis,"Carbamoyl phosphate synthase, ammonia, large subunit; tetramer of heterodimers"
b0034,0.794075655,8.664089826,0.091651365,caiF,34300,cai operon transcriptional activator,"Regulator; Central intermediary metabolism: Pool, multipurpose conversions",Transcriptional activator of cai operon
b0035,0.780781803,9.24749911,0.084431671,caiE,34781,stimulator of CaiD and CaiB enzyme activities,"Putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions",Stimulates activities of CaiD and CaiB
b0036,0.7829918509999999,9.351928256,0.083725177,caiD,35377,carnitinyl-CoA dehydratase,Enzyme; Degradation of small molecules: Amines,Carnitinyl-CoA dehydratase
b0037,0.66176978,8.415063105,0.078641095,caiC,36271,putative crotonobetaine/carnitine-CoA ligase,"Putative enzyme; Central intermediary metabolism: Pool, multipurpose conversions",Crotonobetain/carnitine-CoA ligase
b0038,0.6472716860000001,8.244529306,0.078509235,caiB,37898,crotonobetainyl CoA:carnitine CoA transferase,"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions","Carnitine dehydratase; crotonobetaine reductase, CI component"
b0039,0.51603773,8.644402927,0.059696168,caiA,39244,"crotonobetaine reductase subunit II, FAD-binding","Putative regulator; Central intermediary metabolism: Pool, multipurpose conversions","Crotonobetaine reductase, CII component"
b0040,0.73356348,8.492417237,0.086378643,caiT,40417,putative transporter,"Putative transport; Central intermediary metabolism: Pool, multipurpose conversions",L-carnitine/gamma-butyrobetaine antiporter; trimeric; BCCT family
b0041,0.5482317729999999,7.919491397000001,0.069225629,fixA,42403,anaerobic carnitine reduction putative electron transfer flavoprotein subunit,"Putative enzyme; Energy metabolism, carbon: Electron transport",Required for anaerobic carnitine reduction
b0042,0.651759239,9.180629731,0.070992868,fixB,43188,"putative electron transfer flavoprotein, NAD/FAD-binding domain and ETFP adenine nucleotide-binding domain-like protein","Putative enzyme; Energy metabolism, carbon: Electron transport",Required for anaerobic carnitine reduction
b0043,0.645771083,8.649725301,0.074657987,fixC,44180,putative oxidoreductase,"Putative carrier; Energy metabolism, carbon: Electron transport",Predicted flavoprotein oxidoreductase; may be involved in anaerobic carnitine reduction; predicted FAD-binding domain; function unknown
b0044,0.558334699,8.455497014,0.066032156,fixX,45463,putative 4Fe-4S ferredoxin-type protein,Putative carrier; Not classified,Related to carnitine metabolism
b0045,0.9192771909999999,8.787605735,0.104610655,yaaU,45807,putative MFS sugar transporter; membrane protein,Putative transport; Not classified,"Putative MFS transporter, function unknown; membrane protein"
b0046,0.5918066129999999,8.318247749,0.071145586,kefF,47246,"potassium-efflux system ancillary protein for KefC, glutathione-regulated; quinone oxidoreductase, FMN-dependent",Putative enzyme; Not classified,"Potassium-efflux system ancillary protein for KefC; glutathione-regulated; quinone oxidoreductase, FMN-dependent"
b0047,0.75082143,9.18788032,0.081718678,kefC,47769,potassium:proton antiporter,Transport; Transport of small molecules: Cations,NEM-activatable K+/H+ antiporter
b0048,0.59313937,9.995390119,0.059341292999999996,folA,49823,dihydrofolate reductase,"Enzyme; Biosynthesis of cofactors, carriers: Folic acid",Dihydrofolate reductase; trimethoprim resistance
b0049,0.622755056,9.468493525,0.065771292,apaH,50380,diadenosine tetraphosphatase,Enzyme; Salvage of nucleosides and nucleotides,"Dinucleoside tetraphosphatase, symmetrical; diadenosine tetraphosphatase; bis(5'-nucleosyl)-tetraphosphatase, symmetrical"
b0050,0.544694716,10.36247769,0.052564139,apaG,51229,protein associated with Co2+ and Mg2+ efflux,Null,"Expressed as part of complex ksgA operon, function unknown; Salmonella ortholog involved in Co2+ and Mg2+ efflux; upstream of apaH"
b0051,0.468261119,10.53968535,0.044428377000000005,rsmA,51609,"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent",Enzyme; rRNA modification; drug/analog sensitivity,"16S rRNA m(6)A1518, m(6)A1519 dimethyltransferase, SAM-dependent; mutant is kasugamycin resistant; multicopy suppressor of era(Cs)"
b0052,0.6460895999999999,10.00196567,0.064596263,pdxA,52427,"4-hydroxy-L-threonine phosphate dehydrogenase, NAD-dependent","Enzyme; Biosynthesis of cofactors, carriers: Pyridoxine",4-hydroxythreonine-4-phosphate dehydrogenase; fourth step in pyridoxal 5-phosphate biosynthesis; isoniazid resistance; requires divalent cations and NAD(P)+
b0053,0.563490078,11.02318391,0.051118632000000004,surA,53416,peptidyl-prolyl cis-trans isomerase (PPIase),Phenotype; Not classified,"Periplasmic OM porin chaperone, has PPIase activity; required for stationary-phase survival"
b0054,0.750164924,10.085885300000001,0.074377697,lptD,54755,"LPS assembly OM complex LptDE, beta-barrel component","Phenotype; Adaptations, atypical conditions","LPS assembly OM complex LptDE, beta-barrel component"
b0055,0.373427524,9.838970712,0.037953922,djlA,57364,"membrane-anchored DnaK co-chaperone, DNA-binding protein",Factor; Chaperones,"DnaK co-chaperone, membrane-anchored, DNA-binding protein; mutants rapidly accumulate suppressors"
b0058,0.517499031,9.364191547999999,0.05526361,rluA,59687,"dual specificity 23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase, SAM-dependent",Enzyme; rRNA modification; tRNA modification,"23S rRNA pseudouridine(746), tRNA pseudouridine(32) synthase; dual specificity"
b0059,0.730969875,9.886178854,0.073938565,rapA,60358,"RNA polymerase remodeling/recycling factor ATPase; RNA polymerase-associated, ATP-dependent RNA translocase","Putative enzyme; RNA synthesis, modification, DNA transcription","RNA polymerase-associated, ATP-dependent RNA translocase; RNA polymerase PTC complex remodeling/recycling factor ATPase"
b0060,1.579174666,8.227864087,0.191930087,polB,63429,DNA polymerase II,"Enzyme; DNA - replication, repair, restriction/modification","DNA polymerase II, capable of translesion synthesis; role in the resumption of DNA synthesis after UV irradiation"
b0061,1.8113032409999998,8.983246279,0.20163125699999998,araD,65855,L-ribulose-5-phosphate 4-epimerase,Enzyme; Degradation of small molecules: Carbon compounds,L-ribulose-5-phosphate 4-epimerase
b0062,2.026289811,8.714858995,0.23250976399999998,araA,66835,L-arabinose isomerase,Enzyme; Degradation of small molecules: Carbon compounds,L-arabinose isomerase; first step in arabinose catabolism; converts L-arabinose to L-ribulose
b0063,1.972330666,8.81128505,0.22384143199999998,araB,68348,L-ribulokinase,Enzyme; Degradation of small molecules: Carbon compounds,Ribulokinase
b0064,1.495024977,8.649099521,0.17285325199999999,araC,70387,ara regulon transcriptional activator; autorepressor,Regulator; Degradation of small molecules: Carbon compounds,Transcriptional activator for the ara regulon; autorepressor in the absence of arabinose co-activator
b0065,1.457179975,9.277411137,0.157067522,yabI,71351,ionizing radiation survival protein; DedA family inner membrane protein,Null,"Ionizing radiation survival protein; DedA family inner membrane protein, function unknown"
b0066,1.152968142,8.605598799,0.13397884,thiQ,72229,thiamine/thiamine pyrophosphate ABC transporter ATPase,Transport; Transport of small molecules: Other,Thiamine/thiamine pyrophosphate ABC transporter ATPase
b0067,1.24893708,8.538220393,0.146276041,thiP,72911,thiamine/thiamine pyrophosphate ABC transporter permease,Null,Thiamine/thiamine pyrophosphate ABC transporter permease
b0068,1.317764955,9.072501616,0.145248247,thiB,74497,thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein,Transport; Transport of small molecules: Other,Thiamine/thiamine pyrophosphate/thiamine monophosphate ABC transporter periplasmic binding protein; TBP; monomeric
b0069,1.712830219,8.220606644,0.20835812899999998,sgrR,75644,transcriptional DNA-binding transcriptional activator of sgrS sRNA,Transport; Not classified,Transcriptional activator of sgrS sRNA; sgrS destabilizes ptsG mRNA
b0070,1.274019682,8.893587183,0.143251497,setA,77621,broad specificity sugar efflux system,Putative transport; Not classified,Broad specificity sugar efflux transporter
b0071,1.816278359,8.656484539,0.209817086,leuD,78848,3-isopropylmalate dehydratase small subunit,Enzyme; Amino acid biosynthesis: Leucine,3-isopropylmalate dehydratase small subunit; also called alpha-Isopropylmalate isomerase
b0072,1.7679776059999999,9.464523018,0.18680049699999998,leuC,79464,3-isopropylmalate dehydratase large subunit,Enzyme; Amino acid biosynthesis: Leucine,3-isopropylmalate dehydratase large subunit; also called alpha-isopropylmalate isomerase
b0073,1.742056878,8.811220151,0.19770892699999998,leuB,80867,"3-isopropylmalate dehydrogenase, NAD(+)-dependent",Enzyme; Amino acid biosynthesis: Leucine,"3-isopropylmalate dehydrogenase, NAD(+)-dependent"
b0074,1.746749701,9.268770379,0.188455386,leuA,81958,2-isopropylmalate synthase,Enzyme; Amino acid biosynthesis: Leucine,Alpha-isopropylmalate synthase
b0075,1.8940992730000001,7.638489945,0.24796776399999998,leuL,83622,leu operon leader peptide,Leader; Amino acid biosynthesis: Leucine,leu operon leader peptide
b0076,1.074706435,7.59259716,0.141546616,leuO,84368,global transcription factor,Putative regulator; Amino acid biosynthesis: Leucine,"Pleiotropic transcriptional regulator; regulates dsrA; relieves bgl silencing, multi-copy represses cadC"
b0077,1.696598117,8.429081735,0.201279116,ilvI,85630,acetolactate synthase 3 large subunit,"Enzyme; Amino acid biosynthesis: Isoleucine, Valine","Acetolactate synthase 3 large subunit, valine-sensitive; acetohydroxy acid synthase III; heterotetrameric AHAS-III"
b0078,1.4130638830000002,8.398006967999999,0.16826181399999998,ilvH,87357,"acetolactate synthase 3, small subunit, valine-sensitive","Enzyme; Amino acid biosynthesis: Isoleucine, Valine",Acetolactate synthase 3 small regulatory subunit; acetohydroxy acid synthase III; heterotetrameric AHAS-III
b0080,0.8440764709999999,9.435889151,0.089453835,cra,88028,transcriptional repressor-activator for carbon metabolism,"Regulator; Energy metabolism, carbon: Glycolysis",Catabolite repressor-activator
b0081,0.9504083090000001,10.55632954,0.09003208,mraZ,89634,RsmH methytransferase inhibitor,Null,DNA-binding transcriptional repressor
b0082,0.78511973,10.11149684,0.077646242,rsmH,90094,"16S rRNA m(4)C1402 methyltransferase, SAM-dependent",Enzyme; rRNA modification,"16S rRNA m(4)C1402 methyltransferase, SAM-dependent; membrane-associated. expressed gene in dcw gene cluster; non-essential"
b0083,0.685425002,10.37717084,0.06605124,ftsL,91032,membrane bound cell division leucine zipper septum protein,Phenotype; Cell division,"Cell division and growth, membrane protein"
b0084,0.44320051299999996,9.839526804,0.045042869000000006,ftsI,91413,transpeptidase involved in septal peptidoglycan synthesis; penicillin-binding protein 3,Enzyme; Cell division,"Transpetidase, PBP3; penicillin-binding protein 3 involved in septal peptidoglycan synthesis"
b0085,1.1501442179999999,9.823007653,0.11708676800000001,murE,93166,UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase,"Enzyme; Murein sacculus, peptidoglycan",meso-diaminopimelate adding enzyme; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate:meso-diaminopimelate ligase
b0086,0.742539792,9.522896055,0.077974157,murF,94650,UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase,"Enzyme; Murein sacculus, peptidoglycan",D-alanyl:D-alanine adding enzyme; UDP-N-acetylmuramoyl-tripeptide:D-alanyl-D-alanine ligase
b0087,0.717079138,9.385013338,0.07640683200000001,mraY,96002,phospho-N-acetylmuramoyl-pentapeptide transferase,"Enzyme; Murein sacculus, peptidoglycan",UDP-N-acetylmuramoyl-pentapeptide:undecaprenyl-PO4 phosphatase
b0088,1.509231671,9.176850995,0.164460736,murD,97087,UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase,"Enzyme; Murein sacculus, peptidoglycan",D-glutamic acid adding enzyme; UDP-N-acetylmuramoyl-L-alanine:D-glutamate ligase
b0089,0.651397401,9.683237502,0.067270621,ftsW,98403,putative lipid II flippase; integral membrane protein; FtsZ ring stabilizer,Membrane; Cell division,Putative lipid II flippase; divisome protein recruiting FtsI; SEDS protein
b0090,0.7987672720000001,9.64809474,0.08279015599999999,murG,99644,N-acetylglucosaminyl transferase,"Enzyme; Murein sacculus, peptidoglycan",N-acetylglucosaminyl transferase; UDP-N-acetylglucosamine:N-acetylmuramyl-(pentapeptide) pyrophosphoryl-undecaprenol N-acetylglucosamine transferase; murein synthesis peripheral membrane protein interacting with cardiolipin
b0091,0.750090965,9.704767433999999,0.077290978,murC,100765,UDP-N-acetylmuramate:L-alanine ligase,"Enzyme; Murein sacculus, peptidoglycan",UDP-N-acetylmuramate:L-alanine ligase; L-alanine adding enzyme
b0092,0.644603419,10.36636356,0.062182212,ddlB,102233,D-alanine:D-alanine ligase,"Enzyme; Murein sacculus, peptidoglycan","D-alanine:D-alanine ligase B, ADP-forming"
b0093,0.5765533,10.85744859,0.053102098,ftsQ,103155,"divisome assembly protein, membrane anchored protein involved in growth of wall at septum",Phenotype; Cell division,Divisome assembly protein; cell division and growth of wall at septum
b0094,0.501496124,10.97310299,0.045702307000000005,ftsA,103982,ATP-binding cell division FtsK recruitment protein,Phenotype; Cell division,"Cell division and septation protein, specific role unknown; recruited to FtsZ ring"
b0095,0.923034087,11.17809863,0.082575232,ftsZ,105305,GTP-binding tubulin-like cell division protein,Enzyme; Cell division,Septal ring GTPase required for cell division and growth; initiation of septation; tubulin-like protein
b0096,0.8044720000000001,11.42555164,0.070409905,lpxC,106557,UDP-3-O-acyl N-acetylglucosamine deacetylase,Enzyme; Surface polysaccharides & antigens,"Lipid A synthesis, UDP-3-O-(R-3-hydroxymyristoyl)-N-acetylglucosamine deacetylase; zinc metalloamidase; cell envelope and cell separation"
b0097,0.763310666,10.34473374,0.073787367,secM,107705,regulator of secA translation,Null,Secretion monitor controlling secA expression
b0098,0.684991879,9.918138169,0.069064563,secA,108279,"preprotein translocase subunit, ATPase","Transport; Protein, peptide secretion",Preprotein translocase secAYEG receptor/ATPase subunit; autogenous translational repressor; ATP-dependent helicase activity on secMA mRNA; homodimeric/monomeric
b0099,0.651714779,8.62499979,0.075561136,mutT,111044,dGTP-preferring nucleoside triphosphate pyrophosphohydrolase,Enzyme; 2'-Deoxyribonucleotide metabolism,"8-oxo-dGTPase, antimutator; prevents AT-to-GC transversions; dGTP pyrophosphohydrolase"
b0101,0.9000090470000001,9.603410242,0.093717651,yacG,111649,DNA gyrase inhibitor,Null,DNA gyrase inhibitor; Zn(2+)-binding protein
b0102,0.723924515,9.991217438,0.072456086,zapD,111856,FtsZ stabilizer,Null,FtsZ stabilizer
b0103,0.486365376,9.821328315,0.049521344,coaE,112599,dephospho-CoA kinase,Orf; Not classified,Dephospho-CoA kinase; final step in CoA synthesis
b0104,0.7308732790000001,9.644928908999999,0.075777985,guaC,113444,GMP reductase,Enzyme; Purine ribonucleotide biosynthesis,GMP reductase
b0106,0.481794875,8.410649324,0.057283909,hofC,114522,"assembly protein in type IV pilin biogenesis, transmembrane protein",Putative transport; Not classified,"Homologous to PilC of P. aeruginosa; function not established, insertion mutation gives no phenotype"
b0107,0.602104003,7.688992,0.07830727400000001,hofB,115714,T2SE secretion family protein; P-loop ATPase superfamily protein,Putative transport; Not classified,"T2SE family predicted protein secretion protein; predicted P-loop ATPase, function unknown"
b0108,0.7596434940000001,8.456849452,0.089825827,ppdD,117109,putative prepilin peptidase-dependent pilin,Putative structural component; Surface structures,Predicted prepilin peptidase-dependent pilin
b0109,0.451580671,9.165783388,0.049268093,nadC,117752,quinolinate phosphoribosyltransferase,"Enzyme; Biosynthesis of cofactors, carriers: Pyridine nucleotide",Quinolinate phosphoribosyl transferase
b0110,0.674695388,9.274851927,0.07274459900000001,ampD,118733,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase",Regulator; Not classified,"1,6-anhydro-N-acetylmuramyl-L-alanine amidase, Zn-dependent; murein amidase"
b0111,0.43327789299999997,9.431519991,0.04593935,ampE,119281,ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation,Regulator; Drug/analog sensitivity,Ampicillin resistance inner membrane protein; putative signaling protein in beta-lactamase regulation
b0112,1.038293585,9.280712356,0.11187649699999999,aroP,120178,aromatic amino acid transporter,"Transport; Transport of small molecules: Amino acids, amines",General aromatic amino acid transport permease
b0113,0.983072004,9.572746479,0.102694875,pdhR,122092,pyruvate dehydrogenase complex repressor; autorepressor,"Regulator; Energy metabolism, carbon: Pyruvate dehydrogenase",Pyruvate dehydrogenase operon (pdhR-aceEF-lpd) repressor; autoregulatory; pyruvate relieves repression; monomeric
b0114,1.140901883,11.59287164,0.098414087,aceE,123017,"pyruvate dehydrogenase, decarboxylase component E1, thiamine triphosphate-binding","Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase","Pyruvate dehydrogenase, decarboxylase component E1; acetate requirement"
b0115,1.208230406,11.38300892,0.106143324,aceF,125695,"pyruvate dehydrogenase, dihydrolipoyltransacetylase component E2","Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase","Pyruvate dehydrogenase, dihydrolipoamide acetyltransferase E2; acetate requirement"
b0116,0.87972336,11.82590753,0.074389501,lpd,127912,dihydrolipoyl dehydrogenase; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase,"Enzyme; Energy metabolism, carbon: Pyruvate dehydrogenase","Dihydrolipoyl dehydrogenase, NADH-dependent; E3 component of pyruvate and 2-oxoglutarate dehydrogenases complexes; glycine cleavage system L protein; dihydrolipoamide dehydrogenase; binds Zn(II)"
b0117,0.60051583,8.078534571,0.07433474799999999,yacH,129407,DUF3300 family protein,Putative membrane; Not classified,"DUF3300 family protein, function unknown"
b0118,1.434530445,10.34116166,0.138720435,acnB,131615,aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase,"Enzyme; Energy metabolism, carbon: TCA cycle",Aconitate hydratase 2; aconitase B; 2-methyl-cis-aconitate hydratase; iron-sulfur cluster; monomeric
b0119,1.222030856,9.81951984,0.124449146,yacL,134388,UPF0231 family protein,Null,"UPF0231 family protein, function unknown"
b0120,1.075436887,9.922648685,0.10838203800000001,speD,134788,S-adenosylmethionine decarboxylase,Enzyme; Central intermediary metabolism: Polyamine biosynthesis,"S-adenosylmethionine decarboxylase, spermidine biosynthesis; two subunits by cleavage: residues 1-111 are the beta chain and 112-264 are the alpha chain (153 aa)"
b0121,0.838346543,10.66419626,0.078613195,speE,135598,spermidine synthase (putrescine aminopropyltransferase),Enzyme; Central intermediary metabolism: Polyamine biosynthesis,Spermidine synthase
b0122,0.785041526,9.357695671,0.08389261099999999,yacC,136570,PulS_OutS family protein,Null,"Expressed protein, function unknown, PulS_OutS family"
b0123,0.73603952,9.140620612000001,0.08052402,cueO,137083,multicopper oxidase (laccase),Null,"Multicopper oxidase (laccase), confers copper tolerance; oxidizes model substrate dimethoxyphenol; in vitro ferroxidase and phenoloxidase activities; regulated by copper-responsive CueR activator"
b0124,0.661616607,9.609292753,0.068851748,gcd,138835,glucose dehydrogenase,Enzyme; Degradation of small molecules: Carbon compounds,Glucose dehydrogenase (pyrroloquinoline-quinone) quinoprotein; inner membrane protein
b0125,0.536729143,10.45961596,0.051314422,hpt,141431,hypoxanthine phosphoribosyltransferase,Enzyme; Salvage of nucleosides and nucleotides,Hypoxanthine phosphoribosyltransferase
b0126,1.142867762,10.94606513,0.104409004,can,142008,carbonic anhydrase,"Enzyme; Central intermediary metabolism: Pool, multipurpose conversions","Carbonic anhydrase, beta class"
b0127,0.507237327,9.437031337999999,0.053749671,yadG,142779,putative ABC transporter ATPase,Putative transport; Not classified,Putative ABC transporter ATPase
b0128,0.49131317,8.934664,0.054989552000000004,yadH,143702,putative ABC transporter permease,Null,Putative ABC transporter permease
b0129,0.674561436,8.393810392999999,0.08036415,yadI,144577,putative PTS Enzyme IIA,Putative transport; Not classified,"Predicted PTS Enzyme IIA, sugar specificity unknown"
b0130,1.074891247,7.919814324,0.13572177400000002,yadE,145081,putative polysaccharide deacetylase lipoprotein,Null,"Polysaccharide deacetylase-like protein, function unknown"
b0131,0.609997389,10.63445008,0.057360500999999994,panD,146314,aspartate 1-decarboxylase,"Enzyme; Biosynthesis of cofactors, carriers: Pantothenate",Aspartate 1-decarboxylase; pantothenate biosynthesis; residues 1-24 constitute the beta chain; C-terminal 102 residues constitute the alpha chain
b0132,0.697035445,8.72268426,0.07991065900000001,yadD,146968,transposase_31 family protein,Null,"Transposase_31 family protein, function unknown"
b0133,0.6725387429999999,9.886836046,0.068023657,panC,147944,pantothenate synthetase,"Enzyme; Biosynthesis of cofactors, carriers: Pantothenate","Pantothenate synthase, dimeric"
b0134,1.366099142,9.628461219,0.14188135699999999,panB,148807,3-methyl-2-oxobutanoate hydroxymethyltransferase,"Enzyme; Biosynthesis of cofactors, carriers: Pantothenate",Ketopantoate hydroxymethyltransferase
b0135,1.3042612759999999,7.792098466000001,0.167382545,yadC,149715,putative fimbrial-like adhesin protein,Putative structural component; Surface structures,FimA homolog; lethality reduction protein
b0136,1.3429046230000001,7.6250479129999995,0.176117532,yadK,151003,putative fimbrial-like adhesin protein,Putative structural component; Surface structures,"Function unknown, FimA homolog"
b0137,1.0490422,7.9590971139999995,0.131804171,yadL,151626,putative fimbrial-like adhesin protein,Putative structural component; Surface structures,"Predicted minor fimbrial gene, function unknown"
b0138,0.815608206,7.646542224,0.106663663,yadM,152243,putative fimbrial-like adhesin protein,Putative structural component; Surface structures,"Function unknown, FimA homolog"
b0139,0.7659322009999999,6.979892776,0.109734093,htrE,152829,putative outer membrane usher protein,Putative membrane; Surface structures,Putative outer membrane fimbrial subunit export usher protein; required for growth at high temperature; induced by heat shock
b0140,1.071025532,7.572976315,0.14142729199999998,yadV,155461,putative periplasmic pilin chaperone,Putative factor; Surface structures,"Predicted periplasmic pilus chaperone, function unknown"
b0141,1.4910231319999998,8.11273095,0.18378806600000003,yadN,156299,putative fimbrial-like adhesin protein,Putative structural component; Surface structures,"Function unknown, FimA homolog"
b0142,0.7089263570000001,9.120309836,0.077730512,folK,157253,2-amino-4-hydroxy-6-hydroxymethyldihyropteridine pyrophosphokinase,"Enzyme; Biosynthesis of cofactors, carriers: Folic acid","6-Hydroxymethyl-7,8-dihydropterin pyrophosphokinase; monomeric"
